TJ노래방 번호	URL	제목	가수	구분	비고	유튜브 검증
054825	https://www.youtube.com/watch?v=991mbLG3t-Y	_너의번호를누르고(Dial Your Number)	#안녕(An Nyeong)(Prod.영화처럼)	한국어		유효함 (Public)
54825	https://www.youtube.com/watch?v=vle7eqMhAok	너의번호를누르고(Dial Your Number)	#안녕(An Nyeong)(Prod.영화처럼)	한국어		유효함 (Public)
039361	https://www.youtube.com/watch?v=Iu-NVopNDKU	_스토커(Stalker)	10cm	한국어		유효함 (Public)
034860	https://www.youtube.com/watch?v=GgGXXmJs13w	_애상(Sorrow Thoughts)	10cm	한국어		유효함 (Public)
096391	https://www.youtube.com/watch?v=mOo8bVzN9M8	_폰서트(Phonecert)	10cm	한국어		유효함 (Public)
39361	https://www.youtube.com/watch?v=eoiZiKi5Pfo	스토커(Stalker)	10cm	한국어		유효함 (Public)
34860	https://www.youtube.com/watch?v=9fuKI7jvsFk	애상(Sorrow Thoughts)	10cm	한국어		유효함 (Public)
96391	https://www.youtube.com/watch?v=2UaChDjI7l4	폰서트(Phonecert)	10cm	한국어		유효함 (Public)
076829	https://www.youtube.com/watch?v=NjRY-727IiQ	_서울의잠못이루는밤(Sleepless in Seoul)	10cm,이수현(LEE SUHYUN)	한국어		유효함 (Public)
76829	https://www.youtube.com/watch?v=5ENzyLxKvsk	서울의잠못이루는밤(Sleepless in Seoul)	10cm,이수현(LEE SUHYUN)	한국어		유효함 (Public)
015038	https://www.youtube.com/watch?v=sowbaxMLrBY	_도리도리쏭(Gamzadori)	감자도리(이용신)(Lee Yong-shin)	한국어		유효함 (Public)
15038	https://www.youtube.com/watch?v=e6XIDL7m_bw	도리도리쏭(Gamzadori)	감자도리(이용신)(Lee Yong-shin)	한국어		유효함 (Public)
02110	https://www.youtube.com/watch?v=qPhaSz9VefY	_넌할수있어(You can do it)	강산에(Kang San Eh)	한국어		유효함 (Public)
2110	https://www.youtube.com/watch?v=6c73vZnio2E	넌할수있어(You can do it)	강산에(Kang San Eh)	한국어		유효함 (Public)
010136	https://www.youtube.com/watch?v=-KlARnL5O14	_땡벌(DDaeng Beol)	강진(kang jin)	한국어		유효함 (Public)
10136	https://www.youtube.com/watch?v=rgvMgBgtZss	땡벌(DDaeng Beol)	강진(kang jin)	한국어		유효함 (Public)
09870	https://www.youtube.com/watch?v=kVTWFW0gmSs	_사계(Four Seasons)	거북이(turtles)	한국어		유효함 (Public)
9870	https://www.youtube.com/watch?v=dhULEJRCUAs	사계(Four Seasons)	거북이(turtles)	한국어		유효함 (Public)
076851	https://www.youtube.com/watch?v=YPvrhziJAno	_다정히내이름을부르면(If you lovingly call my name)	경서예지(GyeongseoYeji),전건호(Jeon Gunho)	한국어		유효함 (Public)
76851	https://www.youtube.com/watch?v=M-onHh_7qgg	다정히내이름을부르면(If you lovingly call my name)	경서예지(GyeongseoYeji),전건호(Jeon Gunho)	한국어		유효함 (Public)
075522	https://www.youtube.com/watch?v=YjHUF2ueJeI	_내마음이움찔했던순간(The Moment My Heart) (취향저격그녀 OST)	규현(Kyu Hyun)	한국어		유효함 (Public)
75522	https://www.youtube.com/watch?v=95YHTEM0HTs	내마음이움찔했던순간(The Moment My Heart) (취향저격그녀 OST)	규현(Kyu Hyun)	한국어		유효함 (Public)
039337	https://www.youtube.com/watch?v=rUbq_IXBaYg	_광화문에서(At Gwanghwamun)	규현(KYUHYUN )	한국어		유효함 (Public)
39337	https://www.youtube.com/watch?v=lXdPSk1xBoA	광화문에서(At Gwanghwamun)	규현(KYUHYUN )	한국어		유효함 (Public)
014980	https://www.youtube.com/watch?v=fMeQlwZ5MMo	_서울의달(The Moon of Seoul)	김건모(Kim Gun Mo)	한국어		유효함 (Public)
14980	https://www.youtube.com/watch?v=dT_h9y_28zs	서울의달(The Moon of Seoul)	김건모(Kim Gun Mo)	한국어		유효함 (Public)
019195	https://www.youtube.com/watch?v=xgvckGs6xhU	_출발(Departures)	김동률(KIM DONG RYUL)	한국어		유효함 (Public)
19195	https://www.youtube.com/watch?v=YWdb7ELHAFY	출발(Departures)	김동률(KIM DONG RYUL)	한국어		유효함 (Public)
098964	https://www.youtube.com/watch?v=OM_QECPyIUg	_동화(Fairy tale)	김동률(KIM DONG RYUL),IU	한국어		유효함 (Public)
98964	https://www.youtube.com/watch?v=O42O-GmUygo	동화(Fairy tale)	김동률(KIM DONG RYUL),IU	한국어		유효함 (Public)
036254	https://www.youtube.com/watch?v=76ivn4p75Hw	_혼자라고생각말기(Don't Think You're Alone) (학교2013 School2013 OST)	김보경(Kim Bo Kyung)	한국어		유효함 (Public)
36254	https://www.youtube.com/watch?v=FOMPHmvfkrg	혼자라고생각말기(Don't Think You're Alone) (학교2013 School2013 OST)	김보경(Kim Bo Kyung)	한국어		유효함 (Public)
